player_id,player_name,club_team,intl_team,club_minutes,intl_minutes,club_n_contexts,intl_n_contexts,club_per90_vaep,intl_per90_vaep,delta_per90_vaep,club_joi_top5_sum,intl_joi_top5_sum,delta_joi_top5_sum,club_centrality_eigen,intl_centrality_eigen,delta_centrality_eigen,club_embeddedness,intl_embeddedness,delta_embeddedness,career_familiarity_with_intl_squadmates
5506,Javier Alejandro Mascherano,Barcelona,Argentina,540.7166666666667,360.0,1,1,0.18928708106903766,-0.003149829040921759,-0.19243691010995942,0.05506360963399781,0.22694723476805653,0.17188362513405872,0.07309246623795725,0.47525999600544433,0.4021675297674871,2.4476628376610567,1.2731236046430205,-1.1745392330180362,3580.0
5537,Fabian Lukas Schär,RC Deportivo La Coruña,Switzerland,180.0,720.0,1,2,-0.0842855787195731,0.09570853960144922,0.1799941183210223,-0.09585529983284134,0.041612383803569186,0.13746768363641054,0.20425587575498458,0.32040622857755235,0.11615035282256778,0.44025113407020505,0.6994127475421166,0.2591616134719115,10315.0
5542,José Paulo Bezzera Maciel Júnior,Barcelona,Brazil,1849.4333333333334,351.7,1,1,0.36551640742194624,0.2486501028752165,-0.11686630454672975,0.9262673222569284,0.0581979203670724,-0.868069401889856,0.2149321389529813,0.17511909236500275,-0.039813046587978546,5.016546476558929,0.40495165516847204,-4.611594821390457,5142.0
5552,Marcelo Vieira da Silva Júnior,Real Madrid,Brazil,180.0,279.4166666666667,1,1,0.20348617636610286,0.23230078393003956,0.028814607563936695,0.0790902750417503,0.1375179279138851,0.05842765287213479,0.4159805902457983,0.39784784485211755,-0.01813274539368076,0.04755797907927343,0.5960660248343034,0.54850804575503,3909.0
5563,José Andrés Guardado Hernández,Real Betis,Mexico,360.0,304.3833333333333,2,1,0.1282916750496952,0.03853341500017924,-0.08975826004951595,0.04307611742697064,0.1187901284799083,0.07571401105293765,0.4089685521232964,0.2794106265842769,-0.12955792553901951,0.4024863348876799,-0.08529285310368848,-0.4877791879913683,4164.0
5597,Keylor Navas Gamboa,Paris Saint-Germain,Costa Rica,1342.8666666666666,540.0,2,2,-0.08073675093557177,-0.12318631880528604,-0.042449567869714266,0.009945048595463508,0.005326187538275109,-0.004618861057188399,0.04662559610855586,0.1498187536005622,0.10319315749200636,0.9309308670656741,0.0677713798156127,-0.8631594872500614,4569.0
5687,Takashi Inui,Eibar,Japan,180.0,291.76666666666665,1,1,-0.0032700221345294267,0.7080065130428898,0.7112765351774192,0.03939297254038094,0.06612250961321915,0.026729537072838212,0.3583449933170283,0.24320978736402749,-0.11513520595300081,-0.007199061784377268,0.16983108706739616,0.17703014885177343,2840.0
6196,Yerry Fernando Mina González,Barcelona,Colombia,280.85,270.0,1,1,0.06447990096027195,1.0205502758180955,0.9560703748578236,0.04608809681020191,0.9526526464119845,0.9065645496017827,0.031091034570045025,0.33423732539191425,0.3031462908218692,4.061694970282451,0.4454385320030212,-3.6162564382794296,2584.0
6332,Thomas Vermaelen,Barcelona,Belgium,1485.3333333333333,284.0833333333333,2,1,0.1024084226443963,0.18602144653206046,0.08361302388766416,0.1245483693043987,0.05531417103530278,-0.06923419826909594,0.08386541457469875,0.25139423737279465,0.1675288227980959,3.11804213799799,1.9945810218653375,-1.1234611161326524,2846.0
6374,Nélson Cabral Semedo,Barcelona,Portugal,4743.183333333333,258.8,3,1,0.17518118394532783,0.021028800190530227,-0.15415238375479762,0.15162395347857308,0.05415465837214956,-0.09746929510642352,0.19629162370919342,0.18120179970842148,-0.01508982400077194,2.5412034904807848,0.1827413605123806,-2.3584621299684043,2556.0
6378,Jan Oblak,Atlético Madrid,Slovenia,720.0,360.0,4,1,0.042722927862996585,-0.11680179668474011,-0.1595247245477367,-0.014642189046295351,0.010827786259841623,0.025469975306136976,0.07496939655352984,0.17640061728518439,0.10143122073165454,0.04968021274097259,0.7456974209768548,0.6960172082358822,3920.0
6648,Aïssa Mandi,Real Betis,Algeria,540.0,270.0,3,1,-0.003398051776457578,-0.011645999504253268,-0.00824794772779569,-0.0029794061677605077,0.04260956069666136,0.04558896686442187,0.40318873478217804,0.47276702118017755,0.06957828639799951,0.34985114937306616,0.44329398507013695,0.09344283569707079,1785.0
6765,Rodrigo Hernández Cascante,Villarreal,Spain,180.0,865.8,1,2,0.0905211526696803,0.20604873785192174,0.11552758518224143,0.0659926948234469,0.06606154843475498,6.885361130808121e-05,0.5103644904821117,0.4536309230178819,-0.05673356746422986,-0.007101245726282219,0.6946986967474907,0.701799942473773,10662.0
6797,Daniel Wass,Celta Vigo,Denmark,360.0,239.7,2,1,0.05630676871479954,0.07464379076203403,0.018337022047234496,0.013675351136355188,-0.0023426186038625987,-0.016017969740217786,0.37013203324423904,0.20298322754564369,-0.16714880569859536,0.9965804351392623,0.35844574061210976,-0.6381346945271525,2622.0
6798,Stanislav Lobotka,Celta Vigo,Slovakia,180.0,382.3,1,1,0.1205987615576305,0.17903908985542263,0.05844032829779214,0.043548244156749634,0.04610472376604509,0.0025564796092954548,0.3516371523242986,0.44279039171749035,0.09115323939319175,0.1832096859566779,0.4539152261391742,0.27070554018249626,3877.0
6301,Youssef En-Nesyri,Leganés,Morocco,180.0,795.1666666666666,1,2,-0.23141393837594662,0.16165923165391854,0.3930731700298652,0.5138403627581734,0.3226440827488784,-0.19119628000929495,0.3798486619085801,0.07028429231519055,-0.3095643695933895,-0.03313393260223644,0.3428874282770936,0.3760213608793301,9418.0
6720,Pablo Sarabia García,Paris Saint-Germain,Spain,403.34999999999997,253.1,2,1,0.12827788385793873,0.48532519544406616,0.35704731158612746,0.0118703831293749,0.5667890804597321,0.5549186973303571,0.17735651686013795,0.09358610651284173,-0.08377041034729622,0.057516364150232785,-0.10277431742795476,-0.16029068157818754,3126.0
6785,Yassine Bounou,Girona,Morocco,360.0,900.0,2,2,-0.18745299244255875,-0.08499863540637306,0.10245435703618569,-0.0057541750871764365,0.013822489197584992,0.01957666428476143,0.20023079823829246,0.13814312372012263,-0.06208767451816982,0.22050722415569632,0.713789247533984,0.49328202337828764,9228.0
